"skill_id","alias","alias_source"
"0007bdc2-dd15-4824-b7d6-416522c46f35","checking compliance with rolling stock regulations","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","compliance controls of railway vehicles regulations","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","conduct controls of compliance of railway vehicles regulations","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","control compliance of regulations of rolling stock","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","ensuring compliance with railway vehicles regulations","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","inspection of compliance with rolling stock regulations","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","monitoring of compliance with railway vehicles regulations","esco_altLabel"
"0007bdc2-dd15-4824-b7d6-416522c46f35","monitoring of compliance with rolling stock regulations","esco_altLabel"
"000bb1e4-89f0-4b86-be05-05ece3641724","apply toxicological testing methods","esco_altLabel"
"000bb1e4-89f0-4b86-be05-05ece3641724","carry out toxicological studies","esco_altLabel"
"000bb1e4-89f0-4b86-be05-05ece3641724","perform toxicological study","esco_altLabel"
"000bb1e4-89f0-4b86-be05-05ece3641724","perform toxicological tests","esco_altLabel"
"000f1d3d-220f-4789-9c0a-cc742521fb02","Haskell techniques","esco_altLabel"
"001d46db-035e-4b92-83a3-ed8771e0c123","educate staff on food waste reduction","esco_altLabel"
"001d46db-035e-4b92-83a3-ed8771e0c123","educate workers on food recycling methods","esco_altLabel"
"001d46db-035e-4b92-83a3-ed8771e0c123","inform staff on food waste reduction practices","esco_altLabel"
"001d46db-035e-4b92-83a3-ed8771e0c123","teach students food waste reduction practices","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","administer diplomacy principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","administer diplomatic principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","implement diplomacy principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","implement diplomatic principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","use diplomacy principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","use diplomatic principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","utilise diplomacy principles","esco_altLabel"
"0023e7a5-43da-4b68-bee3-726ef21f986d","utilise diplomatic principles","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","create concepts for energy saving","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","create energy saving concepts","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","creating concepts for energy saving","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","creating energy saving concepts","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","develop concepts for energy saving","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","energy saving concepts creating","esco_altLabel"
"0037c821-2898-4919-b96e-7ed1cd89554c","energy saving concepts developing","esco_altLabel"
"00506f28-e884-4496-800c-3477c67eb355","exercise and sports medicine","esco_altLabel"
"00506f28-e884-4496-800c-3477c67eb355","sports injury medicine","esco_altLabel"
"00506f28-e884-4496-800c-3477c67eb355","sports injury treatment","esco_altLabel"
"00506f28-e884-4496-800c-3477c67eb355","sports medicine","esco_altLabel"
"0058526a-11e9-40a1-ab33-7c5ffdf5da05","carry out research on flora","esco_altLabel"
"0058526a-11e9-40a1-ab33-7c5ffdf5da05","flora research","esco_altLabel"
"0058526a-11e9-40a1-ab33-7c5ffdf5da05","perform research on flora","esco_altLabel"
"0058526a-11e9-40a1-ab33-7c5ffdf5da05","research on flora","esco_altLabel"
"0058526a-11e9-40a1-ab33-7c5ffdf5da05","run research on flora","esco_altLabel"
"0082c13b-5866-4542-bc4f-722a4ae9530e","calculate capacity indicators for biomass installations","esco_altLabel"
"0082c13b-5866-4542-bc4f-722a4ae9530e","design biomass energy system","esco_altLabel"
"0082c13b-5866-4542-bc4f-722a4ae9530e","design biomass installation","esco_altLabel"
"0082c13b-5866-4542-bc4f-722a4ae9530e","design biomass system","esco_altLabel"
"0082c13b-5866-4542-bc4f-722a4ae9530e","determine construction boundaries for biomass energy systems","esco_altLabel"
"00920055-eb50-4cb8-a23d-3deedbf3753e","enterprise risk management process","esco_altLabel"
"00920055-eb50-4cb8-a23d-3deedbf3753e","ERM","esco_altLabel"
"009db49b-fcf5-4409-b4a5-232d059f3597","administer credit risk policy","esco_altLabel"
"009db49b-fcf5-4409-b4a5-232d059f3597","apply a credit risk policy","esco_altLabel"
"009db49b-fcf5-4409-b4a5-232d059f3597","credit risk policy application","esco_altLabel"
"009db49b-fcf5-4409-b4a5-232d059f3597","employ credit risk policy","esco_altLabel"
"009db49b-fcf5-4409-b4a5-232d059f3597","implement credit risk policy","esco_altLabel"
